name,rating,price_level,formatted_address,latitude,longitude,id
13 Coinsbea Seattle,3.8,2,"125 Boren Ave N, Seattle, WA 98109, United States",47.6194888,-122.3360151,f0924edefa8cd673718e25f19f25d860fa50602c
13 Coins,2.8,2,"900 Bellevue Way NE Suite 100, Bellevue, WA 98004, United States",47.6182935,-122.2012378,4246a3c1908aae47fe48586a69614ab8e3a6a863
Agrodolce,4.3,3,"709 N 35th St, Seattle, WA 98103, United States",47.6502816,-122.3493037,0be6c11f1124f0e6507a05aa5d8134846d587186
Amaro Bistro,4.4,,"18333 Bothell Way NE, Bothell, WA 98011, United States",47.7615579,-122.2079927,cb9d7afccdc369256acc145ccf98c1712e04a3f3
Anchovies & Olives,4.6,3,"1550 15th Ave, Seattle, WA 98122, United States",47.6151397,-122.3125827,63c1fb8ff8c7fbf0d75e1d0fea31e964e2b25028
Andaluca,4.3,2,"407 Olive Way, Seattle, WA 98101, United States",47.6123159,-122.3380307,06b8f7eb9ffe75d6c9ab47e692bbb56641fcd898
Andiamo Italian Ristorante,3.7,,"938 110th Ave NE Ste 1, Bellevue, WA 98004, United States",47.6184951,-122.193316,626a931e7faa2deaec5790e21f50696113372984
Anthony's HomePort,4,2,"135 Lake St S, Kirkland, WA 98033, United States",47.6741774,-122.206305,541f05421b84093d4b1543191445d1ab51b3ff2b
Anthony's Pier 66,3.9,2,"2201 Alaskan Way, Seattle, WA 98121, United States",47.6107739,-122.348155,a65aee227b0d32df13467f9f58a2410f0db8467c
AQUA by El Gaucho,4.3,3,"2801 Alaskan Way, Seattle, WA 98121, United States",47.614747,-122.356107,a6b8dfe1befef75a5f37f7577b610e1e81035914
Ballard Annex Oyster House,4.3,,"5410 Ballard Ave NW, Seattle, WA 98107, United States",47.66809,-122.385061,0a474c68c0c3fd9a587e9e573aa2a77d8197eae0
Bar Cantinetta,4.7,2,"2811 E Madison St, Seattle, WA 98112, United States",47.6237472,-122.2956387,ccd7e5c61dd81b7f66515335ab712457986f79f2
Bar Dojo,4.4,,"8404 Bowdoin Way, Edmonds, WA 98026, United States",47.8062006,-122.3468473,d51fa92d79d763ea4e763af980708827ba37dbf5
Barking Frog,4.2,3,"14580 NE 145th St, Woodinville, WA 98072, United States",47.7336289,-122.1473865,397c5844c612194591a5cd2abf8fd9cc040357a3
Barolo Ristorante,4.3,2,"1940 Westlake Ave, Seattle, WA 98101, United States",47.6146583,-122.3373234,707c1769ea831e93c9eea408fb3e97f0b7f8e58a
Barrio Mexican Kitchen & Bar,4.2,2,"1420 12th Ave, Seattle, WA 98122, United States",47.613719,-122.316516,b91f027cc89971435860a729281fadb0c899cc8d
Bastille Cafe & Bar,4.3,2,"5307 Ballard Ave NW, Seattle, WA 98107, United States",47.666437,-122.383666,c8ae4fa7abc7843b89db30c36e45856a6ee2b6ac
Beach Cafe,4,2,"1170 Carillon Point, Kirkland, WA 98033, United States",47.6570851,-122.2071691,c04c3f765dfa3e0055b0aff17103ba00e1811e58
Cactus Alki Beach,4.2,2,"2820 Alki Ave SW, Seattle, WA 98116, United States",47.5782555,-122.4129728,086d2da9991989d6cabd5d5586206367832fb08c
BeachHouse bar and grill,3.9,,"1927 43rd Ave E, Seattle, WA 98112, United States",47.6365731,-122.2774598,6a2348cf70175cc42ec9daf7d3e4f32bc6ad2bf8
Alki Cafe,3.7,,"2726 Alki Ave SW, Seattle, WA 98116, United States",47.579035,-122.410441,18df24b9472a4ee2ce17920d7345da0bc5983caa
Cloudburst Brewing,4.5,1,"2116 Western Ave, Seattle, WA 98121, United States",47.6115804,-122.3452548,e602766ed27b926f45c45a0cc5797ab9b99e7489
Belltown Pub,4.1,,"2322 1st Ave, Seattle, WA 98121, United States",47.6139416,-122.3471842,b87b50dcc23ee85ce268a76050534fb9e9d10cb7
bin on the lake,3.9,2,"1270 Carillon Point, Kirkland, WA 98033, United States",47.6563137,-122.2073381,80164d8ea6e3cf96e8ed234cd1fdb667ca90ef07
Blu Sardinia,4.3,,"8862 161st Avenue Northeast, Redmond, WA 98052, United States",47.681,-122.12526,c673c933518922131d9b2b92b7222aece63b64ac
Blueacre Seafood,4.2,3,"1700 7th Ave, Seattle, WA 98101, United States",47.6137398,-122.3351631,1d64fe677b558503303cfc9ee01b71df2500d259
Boka Restaurant & Bar,3.9,2,"1010 1st Ave, Seattle, WA 98104, United States",47.605085,-122.3360793,02d8fea9f66ed7d6a53782dd03ac2c09bb4d6679
Bramling Cross,4.2,2,"5205 Ballard Ave NW, Seattle, WA 98107, United States",47.6655393,-122.3825594,811efa785002341f10142773e3a3695a5d7b0e0c
Cantinetta Bellevue,4,2,"10038 Main St, Bellevue, WA 98004, United States",47.6103651,-122.2048633,2ef8323f86c15f3d435b9f9f3ea845d9509959d1
Cantinetta,4.1,2,"3650 Wallingford Ave N, Seattle, WA 98103, United States",47.6518487,-122.3360568,c7c237f5b55ca77adac6ea1b32115915b6a44f8d
Capitol Cider,4.4,2,"818 E Pike St, Seattle, WA 98122, United States",47.614212,-122.321135,7885aa16a513dc513a2354f73478e0ee491d03fe
Chandler's Crabhouse,3.9,3,"901 Fairview Ave N, Seattle, WA 98109, United States",47.6279442,-122.3337932,182dcfc609ca0dcd1b1a9230115137b8031f7be4
Chavez,4.5,2,"1734 12th Ave E, Seattle, WA 98122, United States",47.6173159,-122.3166259,a60bc61b494f2de1b7b9f1863f21d1e80a8019c6
Chinapie,4.2,2,"125 N 36th St, Seattle, WA 98103, United States",47.6524745,-122.3566232,d901d6e0bb00f4775298e73878304229bdc64469
Chiso,4.4,2,"3520 Fremont Ave N, Seattle, WA 98103, United States",47.6511477,-122.3496873,37221e853f2c8b5a3697f1fd8dd9e4b5e01ead7d
Cicchetti,4.5,2,"121 E Boston St, Seattle, WA 98102, United States",47.6381331,-122.3261268,c6eb45e19f92e74b437fd1c967bc13932f096791
Cinque Terre Ristorante,4.4,2,"2001 Westlake Ave, Seattle, WA 98121, United States",47.6149361,-122.3382576,9a496e6b1434c867832d33dd9d8fdfebba9ff025
Ciudad,4.3,2,"6118 12th Ave S, Seattle, WA 98108, United States",47.5481549,-122.3169008,88cc4e9195963217416ef6990122741d23cc1e9b
Coastal Kitchen,4.1,2,"429 15th Ave E, Seattle, WA 98112, United States",47.6228102,-122.3128171,d1c668dda6ff7353be9406102a5ede7f9313b908
Coho Cafe-Issaquah,4,2,"6130 E Lake Sammamish Pkwy SE A, Issaquah, WA 98029, United States",47.5485105,-122.0413034,ad3166d22834c9210b91b4d0a012d9eae0d87387
Coho Cafe,3.6,2,"8976 161st Avenue Northeast, Redmond, WA 98052, United States",47.6819688,-122.1251697,095af7d356c0849d36871fd9c126c5b8d7e860dc
Contadino,,,"602 19th Ave E, Seattle, WA 98112, United States",47.6245685,-122.3070021,e38b3acd38fe56cb3a1f091b55ba43e1bbe8107f
Cutters Crabhouse,4.1,2,"2001 Western Ave #100, Seattle, WA 98121, United States",47.6105642,-122.3442003,990f2da2f3b1b4b0b801fa608ff67ae0062f9fbc
Dahlia Lounge,4.2,3,"2001 4th Ave, Seattle, WA 98121, United States",47.613044,-122.340378,5110de308455e05de758df7d7aa15c6939249739
Daniel's Broiler - Leschi,4.2,3,"200 Lake Washington Blvd, Seattle, WA 98122, United States",47.6029568,-122.2841571,64c6a3d2e07b9c787cb4b2bfd4665df56e0b214e
El Gaucho,4.4,3,"2505 1st Ave, Seattle, WA 98121, United States",47.6147311,-122.3494006,7c7140f8bdf82525532f7b0983f22a57f4d70e08
Epulo Bistro,4.5,2,"526 Main St, Edmonds, WA 98020, United States",47.810318,-122.376378,ce4c1a8048e270b3afd85fb756ddf60ec1ee7fcb
Etta's,4,2,"2020 Western Ave, Seattle, WA 98121, United States",47.61079,-122.343871,473c8881612a44ff08e6c6c5aca1ac2b959721fa
Eve Fremont,4.5,2,"704 N 34th St, Seattle, WA 98103, United States",47.6496664,-122.3492934,f5627ec4a54bba531b39fed16629212d85a0f8b2
Firenze Restaurant Italian,3.8,2,"15600 NE 8th St, Bellevue, WA 98008, United States",47.6215692,-122.1318467,e62b081776b9cc15bbf35e9403079b57732090e8
Frank's Oyster House,4.5,,"2616 NE 55th St, Seattle, WA 98105, United States",47.6687097,-122.2988674,9c934e6ec8c46c961e53762dd3e7ffb8ba336d58
Fresh Bistro,4.2,2,"4725 42nd Ave SW, Seattle, WA 98116, United States",47.5601434,-122.3858688,71172289f6a723cd025782a980a43406aa56d151
Goldfinch Tavern,4.5,3,"99 Union St, Seattle, WA 98101, United States",47.607567,-122.3392918,9ba12ee922dfef3ef42a9bd2d3d6eb79a51122ee
Gracia,4.2,3,"5313 Ballard Ave NW, Seattle, WA 98107, United States",47.6666439,-122.3836911,10bced24789e9b1264857832cba8866615cac40b
Grappa,4.1,2,"2 Boston St, Seattle, WA 98109, United States",47.6385634,-122.3567411,5a1976087a54f768961c05719eb41e8be6fd1f12
Heartwood Provisions,4.6,2,"1103 1st Ave, Seattle, WA 98101, United States",47.6054825,-122.3371738,68251ee46524566499367939dd84a77337ad56b7
IL Bistro,4.1,3,"93 Pike St, Seattle, WA 98101, United States",47.608632,-122.3401409,1c97c1005a8f4d5e315e7dd886efc3f0b75a9d5f
Jimmy's on Broadway,4.2,1,"1100 Broadway, Seattle, WA 98122, United States",47.6115546,-122.3203182,45db6ed7c3de3e277cc69616a5900edcf8d253ee
Kickin' Boot Whiskey Kitchen,4.2,,"5309 22nd Ave NW, Seattle, WA 98107, United States",47.667018,-122.385016,69ab64f118b4cac3e4869375ba4f625a2638e088
Kisaku Sushi Restaurant,4.3,2,"2101 N 55th St #100, Seattle, WA 98103, United States",47.6685771,-122.3333068,39c4257094b8a0230f4f82cfd059ba94e123ba13
Lark,4.3,3,"952 E Seneca St, Seattle, WA 98122, United States",47.6123104,-122.3196502,089a4dce3302edf7d3c095c3f5281bd613d62136
Le Grand Bistro Americain,4.1,2,"2220 Carillon Point, Kirkland, WA 98033, United States",47.6562568,-122.2072896,c22113ce326d7c7e4bbaf8cdd98e01618796549b
Le Petit Cochon,4.8,2,"701 N 36th St #200, Seattle, WA 98103, United States",47.6511902,-122.3497119,587ff1bc92d40ca5f6bfc70786dec8f3305d8b53
Lecosho,4.5,2,"89 University St, Seattle, WA 98101, United States",47.6065171,-122.3386078,373cd639de6f17089522877e6d2125298ef27956
Lilac Cafe,4.7,,"212 Central Way, Kirkland, WA 98033, United States",47.677191,-122.2054355,e88ceeff40039e379d9f18ec6b21c862b45ebbe0
Local 360,4.1,2,"2234 1st Ave, Seattle, WA 98121, United States",47.613434,-122.346202,4cc63f0823e1748aae94a3944faf98473d301c1d
Lola,4.3,2,"2000 4th Ave, Seattle, WA 98121, United States",47.6134139,-122.3400512,fd6976830c09d2eaf472591110c5afb815a3a8c5
Lot No. 3,4.3,2,"460 106th Ave NE, Bellevue, WA 98004, United States",47.614278,-122.198588,fc96d700997b123d26abbdfe78a71de34cbe5b02
Luc,4.3,2,"2800 E Madison St, Seattle, WA 98112, United States",47.6237429,-122.296279,2b8dcc347aa2145b9d5e3961ce4bed7b530dcaa0
Ma'ono,4.4,3,"4437 California Ave SW, Seattle, WA 98116, United States",47.5636167,-122.3871224,6a95ff41e3ff9814bf5f7248a3307837fe29262e
Mama's Cantina,3.5,2,"2234 2nd Ave, Seattle, WA 98121, United States",47.6140738,-122.345363,d15e77c4118c9735b5a8b8b84571c985bbaae2b7
Mamma Melina Ristorante & Pizzeria,4.1,2,"5101 25th Ave NE, Seattle, WA 98105, United States",47.6664181,-122.3008103,7b3dd9df70801dc24748a474b9734267edf25dcb
Mar̩e Bistro & Bar,4.9,2,"2820 Alki Ave SW, Seattle, WA 98116, United States",47.5782585,-122.4128943,1a7008c57a53cfb24a7fada4c2c9f82b14cadeee
Marianna Ristorante,4.3,2,"310 Wells Ave S, Renton, WA 98057, United States",47.4792433,-122.2051971,b7df050ecb308106a272a98055828fba5b763aa9
Marjorie Restaurant,4.4,3,"1412 E Union St, Seattle, WA 98122, United States",47.6130854,-122.3135297,b02f3cead85b9729916aeb3926fa63b15d31e83e
Maximilien Restaurant,4.2,2,"81 Pike St, Seattle, WA 98101, United States",47.6083986,-122.3405722,ab5e2a693c36f096f7ae2f319f897d3744efb90c
McCormick & Schmick's Seafood & Steaks,3.5,,"700 Bellevue Way NE #115, Bellevue, WA 98004, United States",47.617019,-122.201254,4d7883063099e4f060364a00ff3c07693a68c733
Meet the Moon,4.6,2,"120 Lakeside Ave, Seattle, WA 98122, United States",47.602155,-122.2849337,1c1c0b5356552914781d9f830d9961739669cbf1
MERCATO STELLINA PIZZERIA,4.7,2,"10000 Main St, Bellevue, WA 98004, United States",47.6103963,-122.2059619,6cf3dec6cbc8224012ae6a34588dda6d0cc9c1a9
mkt.,4.6,2,"2108 N 55th St, Seattle, WA 98103, United States",47.6688209,-122.3334158,6abe7cdea07eebfbb9f41fbdb3c1297e0911fe2a
Moksha Indian Cuisine of Bellevue,3.6,2,"515 Bellevue Way NE, Bellevue, WA 98004, United States",47.6166234,-122.2020768,ec332cef20efb23da1668515d85db8e1cdae09f3
Monsoon Bellevue,4.1,2,"10245 Main St, Bellevue, WA 98004, United States",47.609929,-122.203061,46bf90e02d97f711a3c6388c8f90a648cb8d9d96
Monsoon Seattle,4.3,2,"615 19th Ave E, Seattle, WA 98112, United States",47.624861,-122.307669,16e8e50a3cde1df1c98e9d25c5a64b31279f9584
Nell's,4.1,3,"6804 East Green Lake Way N, Seattle, WA 98115, United States",47.6782075,-122.3276028,8f980284aab6f72abe82136651b56c649c3cb0d4
Novilhos Brazilian Steak House Bellevue,4.3,3,"12405 SE 38th St, Bellevue, WA 98006, United States",47.5769984,-122.1730515,cce1dc67adaa8a20ec3b2c9871cf881de016ed1d
